iter	MultiRMSE
0	41.95258257
1	40.78580284
2	39.67767145
3	38.61252479
4	37.54123858
5	36.48970187
6	35.52593769
7	34.55146532
8	33.6205802
9	32.73714944
10	31.85817309
11	31.01576851
12	30.19427558
13	29.38541765
14	28.58958484
15	27.82145547
16	27.10558887
17	26.39725113
18	25.70270729
19	25.00743025
20	24.34304819
21	23.70200115
22	23.10566126
23	22.51767785
24	21.93952856
25	21.38057386
26	20.82573256
27	20.29711152
28	19.77820953
29	19.26036025
30	18.75539552
31	18.28261526
32	17.82800296
33	17.37134358
34	16.93778853
35	16.51408909
36	16.09431537
37	15.70372722
38	15.31534526
39	14.93265683
40	14.57857784
41	14.22524227
42	13.88153315
43	13.55320413
44	13.22493146
45	12.90486653
46	12.59638761
47	12.29573721
48	12.01389947
49	11.74518532
