iter	Passed	Remaining
0	20	980
1	36	886
2	53	842
3	70	809
4	86	782
5	102	755
6	120	738
7	137	719
8	153	697
9	168	675
10	184	652
11	199	631
12	214	609
13	228	588
14	243	568
15	259	550
16	273	531
17	289	514
18	304	496
19	319	478
20	334	461
21	350	445
22	366	429
23	382	413
24	397	397
25	413	381
26	430	366
27	446	350
28	461	333
29	475	317
30	490	300
31	505	284
32	520	268
33	534	251
34	548	235
35	562	218
36	577	202
37	591	186
38	605	170
39	619	154
40	633	139
41	647	123
42	662	107
43	677	92
44	692	76
45	706	61
46	721	46
47	736	30
48	750	15
49	765	0
